PERMNO,date,TICKER,HSICMG,BIDLO,ASKHI,PRC,VOL,OPENPRC,sprtrn
84398,03/01/2001,SPY,,121.75000,124.60000,124.60000,14672000,124.05000,0.001040
84398,03/02/2001,SPY,,122.30000,125.65000,123.61000,12564300,122.50000,-0.005680
84398,03/05/2001,SPY,,123.81000,124.78000,124.74000,5293200,124.15000,0.005858
84398,03/06/2001,SPY,,125.49000,127.75000,126.08000,6917000,126.35000,0.009981
84398,03/07/2001,SPY,,125.76000,127.04000,126.98000,6371700,126.90000,0.006452
84398,03/08/2001,SPY,,126.14000,127.24000,127.12000,6055000,126.60000,0.002259
84398,03/09/2001,SPY,,123.11000,126.10000,123.36000,10020300,126.10000,-0.024764
84398,03/12/2001,SPY,,117.75000,122.50000,118.08000,13972900,122.34000,-0.043181
84398,03/13/2001,SPY,,117.53000,120.44000,120.02000,12887200,119.40000,0.014829
84398,03/14/2001,SPY,,115.75000,119.29000,117.65000,19883400,117.05000,-0.025842
84398,03/15/2001,SPY,,117.36000,118.86000,117.68000,10370300,118.45000,0.005871
84398,03/16/2001,SPY,,114.81000,117.40000,115.01000,58515400,117.13000,-0.019624
84398,03/19/2001,SPY,,114.82000,117.69000,117.35000,10067800,115.76000,0.017627
84398,03/20/2001,SPY,,114.11000,118.46000,114.20000,15086900,117.90000,-0.024077
84398,03/21/2001,SPY,,111.90000,115.26000,112.26000,19004700,114.18000,-0.017924
