date,Mkt-RF,SMB,HML,RMW,CMA,RF
20070620,-1.29,0.03,-0.17,-0.02,0.19,0.019
20070621,0.56,-0.19,-0.02,0.11,-0.07,0.019
20070622,-1.25,0.57,-0.01,-0.17,-0.18,0.019
20070625,-0.39,-0.41,-0.1,0.15,0.09,0.019
20070626,-0.35,0.16,-0.24,0.02,0.27,0.019
20070627,0.92,0.48,-0.36,0.2,-0.2,0.019
20070628,0.03,0.15,0.06,0.05,0.05,0.019
20070629,-0.19,-0.31,-0.06,0.11,-0.07,0.019
20070702,1.06,-0.01,0.11,0.05,0.16,0.019
20070703,0.36,-0.04,-0.12,0.22,-0.17,0.019
20070705,0.07,0.14,-0.58,0.2,-0.08,0.019
20070706,0.4,-0.07,-0.06,0.1,-0.16,0.019
20070709,0.1,0.07,-0.09,-0.02,-0.13,0.019
20070710,-1.43,-0.19,-0.39,0.16,0.02,0.019
20070711,0.55,-0.27,-0.08,0.1,-0.08,0.019
20070712,1.78,-0.18,-0.26,0.23,-0.16,0.019
20070713,0.28,-0.28,0.04,0.04,-0.06,0.019
20070716,-0.31,-0.5,-0.33,-0.1,0.2,0.019
20070717,0.02,0.1,-0.2,-0.22,0.25,0.019
20070718,-0.25,-0.21,-0.27,0.32,-0.12,0.019
20070719,0.44,0.24,-0.46,-0.12,0.17,0.019
20070720,-1.25,-0.34,-0.21,-0.12,-0.12,0.019
20070723,0.36,-0.49,-0.49,-0.13,0.14,0.019
20070724,-2.04,-0.63,-0.29,-0.36,0.02,0.019
20070725,0.3,-0.38,0.06,0,-0.06,0.019
20070726,-2.36,-0.09,-0.21,-0.14,-0.5,0.019
20070727,-1.51,-0.08,0.09,0.01,-0.35,0.019
20070730,0.93,-0.26,-0.08,0.05,-0.28,0.019
20070731,-1.19,0.35,-0.1,-0.05,0.2,0.019
20070801,0.51,-0.53,-0.3,0.29,0.17,0.018
20070802,0.55,0.11,-0.3,-0.39,-0.12,0.018
20070803,-2.66,-0.8,-0.8,-0.39,-0.11,0.018
20070806,2.07,-1.06,-0.38,0.48,-0.24,0.018
20070807,0.65,0.34,-0.61,0.01,-0.75,0.018
20070808,1.47,1.05,-0.68,-0.56,-0.75,0.018
20070809,-2.74,1.46,-0.6,-0.88,-0.72,0.018
20070810,0.03,0.16,1.43,0.63,0.97,0.018
20070813,-0.06,-1.11,0.21,-0.01,0.38,0.018
20070814,-1.83,-0.12,-0.15,0.01,0.42,0.018
20070815,-1.46,0,0.02,-0.16,0.14,0.018
20070816,0.31,1.4,1.39,-0.18,0.31,0.018
20070817,2.36,-0.35,0.42,-0.11,-0.27,0.018
20070820,0,0.14,-0.33,0.04,0.08,0.018
20070821,0.15,-0.03,0.01,-0.27,0.09,0.018
20070822,1.2,0.03,-0.03,0.04,0.07,0.018
20070823,-0.23,-0.97,0.19,-0.16,0.04,0.018
20070824,1.21,0.11,-0.28,0.39,0.01,0.018
20070827,-0.85,-0.14,-0.15,-0.12,0.02,0.018
20070828,-2.33,-0.14,-0.4,0.06,-0.06,0.018
20070829,2.13,0.14,0.01,0.13,0.04,0.018
20070830,-0.43,-0.09,-0.47,-0.15,-0.13,0.018
20070831,1.12,0.06,-0.04,0.16,-0.08,0.018
20070904,1.03,-0.19,-0.01,-0.25,-0.35,0.017
20070905,-1.05,-0.06,-0.36,0.05,-0.24,0.017
20070906,0.42,-0.05,-0.2,-0.16,0.15,0.017
20070907,-1.7,-0.32,0.24,-0.05,-0.09,0.017
20070910,-0.27,-0.57,-0.21,-0.2,-0.16,0.017
20070911,1.35,0.04,-0.32,-0.01,-0.26,0.017
20070912,-0.03,-0.45,-0.19,0.14,-0.29,0.017
20070913,0.69,-0.57,0.23,0.16,-0.35,0.017
20070914,0.1,0.37,-0.1,0.27,-0.2,0.017
20070917,-0.6,-0.42,0,0.05,0.06,0.017
20070918,2.88,0.7,0.43,0.31,-0.15,0.017
20070919,0.59,0.57,0.2,-0.07,0.09,0.017
20070920,-0.65,-0.17,-0.33,-0.1,-0.23,0.017
20070921,0.43,-0.19,-0.28,0.01,-0.2,0.017
20070924,-0.56,-0.45,-0.62,-0.15,-0.16,0.017
20070925,-0.03,-0.35,-0.38,-0.32,-0.21,0.017
